書名,作者,語言,折扣,價格,連結
Python + ChatGPT 零基礎+高效率學程式設計與運算思維 (第三版),洪錦魁,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010954180/page/2/idx/44/cat/001/pdf/1/spell/3
APCS 大學程式設計先修檢測觀念題試題解析,蔡志敏,中文書,9,135,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010932476/page/2/idx/45/cat/001/pdf/1/spell/3
用Python快速上手資料分析與機器學習 第二版,寺田學  福島真太朗  辻 真吾  鈴木たかのり  温政堯,中文書,7,476,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010971326/page/2/idx/46/cat/001/pdf/1/spell/3
機器學習：彩色圖解+基礎微積分+Python實作 王者歸來(第三版) (全彩印刷),洪錦魁,中文書,79,624,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010901417/page/2/idx/47/cat/001/pdf/1/spell/3
一邊解題一邊學|Python初學者的練習本,リブロワークス  吳嘉芳,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010928400/page/2/idx/48/cat/001/pdf/1/spell/3
Python 技術者們：練功!老手帶路教你精通正宗 Python 程式,Naomi Ceder  張耀鴻,中文書,95,741,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010834816/page/2/idx/49/cat/001/pdf/1/spell/3
Python桌面開發王者：Qt 6全方位實例應用開發,鄭阿奇,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010945973/page/2/idx/50/cat/001/pdf/1/spell/3
超圖解 Python 物聯網實作入門：使用 ESP8266 與 MicroPython,趙英傑,中文書,95,664,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010786530/page/2/idx/51/cat/001/pdf/1/spell/3
運算思維與Python程式設計：含GLAD ICTP計算機程式能力國際認證核心能力Essentials Level(範例download),JYiC認證研究團隊,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010860265/page/2/idx/52/cat/001/pdf/1/spell/3
Flag’s 創客‧自造者工作坊 用 Raspberry Pi Pico × Python 玩創客,施威銘研究室,中文書,95,949,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010899506/page/2/idx/53/cat/001/pdf/1/spell/3
Python網路文字探勘入門到上手：10堂基礎+5場實戰，搞定網路爬蟲、文本分析的淘金指南,陳寬裕,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010847822/page/2/idx/54/cat/001/pdf/1/spell/3
區塊鏈生存指南：帶你用Python寫出區塊鏈!【第二版】(iT邦幫忙鐵人賽系列書),李耕銘,中文書,66,396,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010931871/page/2/idx/55/cat/001/pdf/1/spell/3
Python初學特訓班(第五版)：從快速入門到主流應用全面實戰(附500分鐘影音教學/範例程式),文淵閣工作室,中文書,9,432,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010929209/page/2/idx/56/cat/001/pdf/1/spell/3
Python 技術者們：實踐!帶你一步一腳印由初學到精通(第二版),施威銘研究室,中文書,95,618,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010887813/page/2/idx/57/cat/001/pdf/1/spell/3
圖解資料結構 × 演算法：運用Python【暢銷回饋版】,胡昭民,中文書,75,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010974457/page/2/idx/58/cat/001/pdf/1/spell/3
Python程式設計：教學與自習最佳範本,蔡明志,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951062/page/2/idx/59/cat/001/pdf/1/spell/3
資料視覺化|使用Python與JavaScript 第二版,Kyran Dale  楊新章,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010971322/page/2/idx/60/cat/001/pdf/1/spell/3
Python論文數據統計分析,洪煌佳,中文書,95,513,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010922680/page/3/idx/1/cat/001/pdf/1/spell/3
OpenCV影像創意邁向AI視覺王者歸來(全彩印刷),洪錦魁,中文書,9,801,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010913455/page/3/idx/2/cat/001/pdf/1/spell/3
機器學習入門：使用Scikit-Learn與TensorFlow,黃建庭,中文書,9,378,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010911381/page/3/idx/3/cat/001/pdf/1/spell/3
黑帽Python：給駭客與滲透測試者的Python開發指南 第二版,Justin Seitz  Tim Arnold  H&C,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010910873/page/3/idx/4/cat/001/pdf/1/spell/3
Python 統計分析：生命科學應用,Thomas Haslwanter  李銳,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010943478/page/3/idx/5/cat/001/pdf/1/spell/3
